JCVI_PEP_1122868063835.1	HOT04-0500M	hypothetical protein	CAMERA
JCVI_PEP_1122868063855.1	HOT04-0500M	putative ABC transporter permease protein; putative oligopeptide/dipeptide transport protein	RF|YP_001205062.1|146340014|NC_009445						114615	1.60823E-21	0.6234	0.974
JCVI_PEP_1122868063863.1	HOT04-0500M	binding-protein-dependent transport systems inner membrane component	RF|YP_645161.1|108805224|NC_008148						362976	8.24904E-36	0.4382	0.8
JCVI_PEP_1122868063867.1	HOT04-0500M	hypothetical protein	CAMERA
JCVI_PEP_1122868063887.1	HOT04-0500M	60 kDa chaperonin 2 (Protein Cpn60 2) (groEL protein 2).	SP|A5V0S2|CH602_ROSS1						357808	1.43875E-66	0.6268	0.981
JCVI_PEP_1122868063891.1	HOT04-0500M	hypothetical protein	CAMERA
JCVI_PEP_1122868063911.1	HOT04-0500M	hypothetical protein	RF|YP_166623.1|56696266|NC_003911						246200	6.95773E-17	0.4286	0.86
JCVI_PEP_1122868063921.1	HOT04-0500M	hypothetical protein	RF|YP_634216.1|108759287|NC_008095						246197	5.4424E-15	0.3293	0.895
JCVI_PEP_1122868063933.1	HOT04-0500M	hypothetical protein	CAMERA						837	8.95285E-16	0.27	0.672
JCVI_PEP_1122868063941.1	HOT04-0500M	aconitate hydratase||Aconitate hydratase	RF|NP_864749.1|32471756|NC_005027||PRIAM			4.2.1.3	PRIAM		126	3.96427E-64	0.6685	0.841
JCVI_PEP_1122868063949.1	HOT04-0500M	UDP-N-acetylmuramate--alanine ligase||UDP-N-acetylmuramate--L-alanine ligase	RF|YP_001112040.1|134298544|NC_009253||PRIAM			6.3.2.8	PRIAM	PF02875	498761	1.30711E-35	0.5486	0.75
JCVI_PEP_1122868063953.1	HOT04-0500M	hypothetical protein	CAMERA
JCVI_PEP_1122868063955.1	HOT04-0500M	hypothetical protein	CAMERA
JCVI_PEP_1122868063965.1	HOT04-0500M	hypothetical protein	RF|YP_828047.1|116625891|NC_008536						234267	9.15224E-9	0.4156	0.937
JCVI_PEP_1122868063985.1	HOT04-0500M	hypothetical protein	CAMERA
JCVI_PEP_1122868064001.1	HOT04-0500M	transposase	RF|YP_001657107.1|166364834|NC_010296						449447	1.1027E-37	0.5369	1
JCVI_PEP_1122868064019.1	HOT04-0500M	riboflavin biosynthesis protein RibD||5-amino-6-(5-phosphoribosylamino)uracil reductase	TIGR00326||PRIAM	GO:0008835||GO:0009231||GO:0008703	TIGR00326||TIGR00326||TIGR00326	1.1.1||3.5.4	TIGR00326||TIGR00326	TIGR00227||PF01872||TIGR00326	349161	2.44771E-57	0.469	0.984
JCVI_PEP_1122868064025.1	HOT04-0500M	putative multi-domain protein	RF|YP_266577.1|71083857|NC_007205						335992	1.66292E-18	0.5714	0.976
JCVI_PEP_1122868064031.1	HOT04-0500M	recA protein	PF00154	GO:0003677||GO:0006281||GO:0008094||GO:0009432||GO:0006310||GO:0005737	PF00154||PF00154||PF00154||PF00154||PF00154||PF00154			PF00154	351348	2.70391E-45	0.6786	0.972
JCVI_PEP_1122868064037.1	HOT04-0500M	hypothetical protein	CAMERA
JCVI_PEP_1122868064043.1	HOT04-0500M	hypothetical protein	CAMERA
JCVI_PEP_1122868064061.1	HOT04-0500M	hypothetical protein	CAMERA
JCVI_PEP_1122868064089.1	HOT04-0500M	hypothetical protein	RF|YP_076441.1|51893750|NC_006177						292459	1.0658E-20	0.3143	0.896
JCVI_PEP_1122868064095.1	HOT04-0500M	hypothetical protein	RF|NP_661169.1|21673104|NC_002932					PF02151	194439	3.44911E-16	0.403	0.939
JCVI_PEP_1122868064097.1	HOT04-0500M	ribonuclease III||Ribonuclease III	RF|YP_912907.1|119358263|NC_008639||PRIAM			3.1.26.3	PRIAM	PF00636||PF00035	290317	1.49925E-23	0.3647	0.942
JCVI_PEP_1122868064105.1	HOT04-0500M	hypothetical protein	CAMERA
JCVI_PEP_1122868064115.1	HOT04-0500M	TPR repeat-containing protein	RF|YP_001542262.1|159046592|NC_009957					PF07719||PF00515	398580	1.47834E-127	0.8973	0.946
JCVI_PEP_1122868064123.1	HOT04-0500M	nitroreductase	RF|YP_001134646.1|145223968|NC_009338						350054	3.45706E-16	0.4336	0.928
JCVI_PEP_1122868064139.1	HOT04-0500M	ferripyochelin binding protein (fbp)	RF|YP_001567702.1|160902121|NC_010003					PF00132	403833	2.3913E-25	0.5253	0.97
JCVI_PEP_1122868064147.1	HOT04-0500M	phosphorylases family 2||S-methyl-5-thioadenosine phosphorylase	PF00896||PRIAM	GO:0008152||GO:0004645	PF00896||PF00896	2.4.2.28	PRIAM	PF00896	186497	1.04706E-27	0.3721	0.825
JCVI_PEP_1122868064161.1	HOT04-0500M	membrane protein	TMHMM
JCVI_PEP_1122868064169.1	HOT04-0500M	hypothetical protein	RF|YP_756895.1|114570215|NC_008347						394221	1.1892E-56	0.5178	0.975
JCVI_PEP_1122868064183.1	HOT04-0500M	hypothetical protein	RF|XP_001420883.1|145353141|XM_001420846						436017	1.49163E-48	0.4592	0.873
JCVI_PEP_1122868064197.1	HOT04-0500M	hypothetical protein	RF|NP_437178.1|16264386|NC_003078||PRIAM			2.7.7.33	PRIAM		266834	3.93065E-49	0.5122	0.942
JCVI_PEP_1122868064201.1	HOT04-0500M	NAD-dependent epimerase/dehydratase||CDP-glucose 4,6-dehydratase	RF|YP_347243.1|77457738|NC_007492||PRIAM			4.2.1.45	PRIAM		205922	5.65566E-35	0.5504	0.941
JCVI_PEP_1122868064203.1	HOT04-0500M	hypothetical protein	CAMERA
JCVI_PEP_1122868064215.1	HOT04-0500M	peptidyl-prolyl cis-trans isomerase, cyclophilin-type||Peptidylprolyl isomerase	PF00160||PRIAM	GO:0006457||GO:0003755	PF00160||PF00160	5.2.1.8	PRIAM	PF00160	220664	1.82424E-53	0.832	0.748
JCVI_PEP_1122868064219.1	HOT04-0500M	UDP-2,3-diacylglucosamine hydrolase .	SP|Q3KA25|LPXH_PSEPF			3.6.1.-	SP|Q3KA25|LPXH_PSEPF		205922	5.12173E-44	0.8641	0.971
JCVI_PEP_1122868064245.1	HOT04-0500M	hypothetical protein	RF|NP_711768.1|24214287|NC_004342						189518	2.36863E-80	0.5637	0.981
JCVI_PEP_1122868064255.1	HOT04-0500M	probable peptidase	RF|NP_924416.1|37521039|NC_005125						251221	5.02128E-15	0.6852	0.885
JCVI_PEP_1122868064259.1	HOT04-0500M	cyclase	GB|AAD20271.1|4416227|AF098966						29301	1.31927E-10	0.413	0.4
JCVI_PEP_1122868064267.1	HOT04-0500M	hypothetical protein	RF|YP_422844.1|83312580|NC_007626						342108	4.35204E-31	0.5037	0.771
JCVI_PEP_1122868064279.1	HOT04-0500M	gluconolactonase	RF|YP_589725.1|94967677|NC_008009						204669	2.20947E-13	0.2514	0.888
JCVI_PEP_1122868064281.1	HOT04-0500M	hypothetical protein	CAMERA
JCVI_PEP_1122868064285.1	HOT04-0500M	glutathione peroxidase||peroxiredoxin	PF00255||PRIAM	GO:0006979||GO:0004602	PF00255||PF00255	1.11.1.15	PRIAM	PF00255	420246	2.72526E-29	0.5391	0.991
