
JCVI_PEP_1122865526160.1	HOT04-0200M	NAD-dependent DNA ligase OB-fold domain||DNA ligase (NAD+)	PF03120||PRIAM	GO:0006281||GO:0006260||GO:0006310||GO:0003911	PF03120||PF03120||PF03120||PF03120	6.5.1.2	PRIAM	PF03120||PF01653	269796	1.04942E-67	0.5209	0.922
JCVI_PEP_1122865526168.1	HOT04-0200M	DAK2 domain	PF02734					PF02734	216389	1.03676E-29	0.3362	0.863
JCVI_PEP_1122865526176.1	HOT04-0200M	NADH dehydrogenase i chain f||NADH dehydrogenase	RF|YP_266306.1|71083587|NC_007205||PRIAM			1.6.99.3	PRIAM		335992	3.22067E-38	0.8222	0.978
JCVI_PEP_1122865526180.1	HOT04-0200M	NADH dehydrogenase i chain f||NADH dehydrogenase	RF|YP_266306.1|71083587|NC_007205||PRIAM			1.6.99.3	PRIAM		335992	9.12476E-17	0.7679	0.651
JCVI_PEP_1122865526186.1	HOT04-0200M	hypothetical protein	CAMERA
JCVI_PEP_1122865526210.1	HOT04-0200M	hypothetical protein	CAMERA
JCVI_PEP_1122865526230.1	HOT04-0200M	rod shape-determining protein RodA	RF|YP_375627.1|78187584|NC_007512						319225	1.6099E-31	0.3657	0.968
JCVI_PEP_1122865526248.1	HOT04-0200M	PUR-Q||Phosphoribosylformylglycinamidine synthase	GB|AAF23789.1|6685118|AF213822||PRIAM			6.3.5.3	PRIAM		542	2.66808E-8	0.5167	0.952
JCVI_PEP_1122865526252.1	HOT04-0200M	PUR-Q||Phosphoribosylformylglycinamidine synthase	GB|AAF23789.1|6685118|AF213822||PRIAM			6.3.5.3	PRIAM		542	1.48606E-45	0.5455	1
JCVI_PEP_1122865526276.1	HOT04-0200M	TatD-related deoxyribonuclease	RF|YP_565826.1|91773134|NC_007955					PF01026	259564	3.82625E-36	0.3973	0.977
JCVI_PEP_1122865526290.1	HOT04-0200M	hypothetical protein	CAMERA
JCVI_PEP_1122865526306.1	HOT04-0200M	hypothetical protein	RF|NP_250314.1|15596820|NC_002516						208964	9.33308E-38	0.6261	0.905
JCVI_PEP_1122865526312.1	HOT04-0200M	hypothetical protein	CAMERA
JCVI_PEP_1122865526340.1	HOT04-0200M	2-oxoisovalerate dehydrogenase E1 component, alpha subunit||3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)	RF|YP_259641.1|70729902|NC_004129||PRIAM			1.2.4.4	PRIAM	PF00676	220664	8.24961E-98	0.8838	0.97
JCVI_PEP_1122865526344.1	HOT04-0200M	2-oxoisovalerate dehydrogenase E1 component, beta subunit	RF|YP_259640.1|70729901|NC_004129			1.2.4.4	RF|YP_259640.1|70729901|NC_004129		220664	1.77815E-12	0.4948	0.979
JCVI_PEP_1122865526358.1	HOT04-0200M	hypothetical protein	RF|YP_357265.1|77919450|NC_007498						264462	2.66787E-25	0.3016	0.779
JCVI_PEP_1122865526384.1	HOT04-0200M	hypothetical protein	CAMERA
JCVI_PEP_1122865526390.1	HOT04-0200M	lysine-arginine-ornithine-binding periplasmic protein	RF|YP_508569.1|89053118|NC_007802						290400	2.8731E-26	0.3436	0.876
